"","site","id","title","Debut","Fin","localisation","prix","nombreNuits","nombreAvis","notes","images"
"49","hotels.com","Dubaï","Jumeirah Beach Hotel","15-02-2021","21-02-2021","Umm Suqeim 3","2184","6 nuits","488","8.8","https://exp.cdn-hotels.com/hotels/1000000/530000/527500/527498/65463740_z.jpg"
"50","hotels.com","Dubaï","Address Downtown","15-02-2021","21-02-2021","Downtown Dubaï","2139","6 nuits","109","9.0","https://exp.cdn-hotels.com/hotels/3000000/2230000/2225000/2224974/bd4f9f06_z.jpg"
"52","hotels.com","New York","Baccarat Hotel and Residences New York","08-02-2021","14-02-2021","59e Rue","3092","6 nuits","122","9.0","https://exp.cdn-hotels.com/hotels/10000000/9760000/9759700/9759603/e5631987_z.jpg"
"56","hotels.com","New York","The NoMad Hotel","15-02-2021","21-02-2021","NoMad","1592","6 nuits","348","9.2","https://exp.cdn-hotels.com/hotels/5000000/4760000/4758700/4758665/4f5e1828_z.jpg"
"58","hotels.com","Dubaï","Address Downtown","08-02-2021","14-02-2021","Downtown Dubaï","2359","6 nuits","109","9.0","https://exp.cdn-hotels.com/hotels/3000000/2230000/2225000/2224974/bd4f9f06_z.jpg"
"59","hotels.com","Dubaï","Atlantis The Palm","01-02-2021","07-02-2021","Palm Jumeirah","1639","6 nuits","1439","8.8","https://exp.cdn-hotels.com/hotels/3000000/2240000/2235400/2235336/88658e84_z.jpg"
"63","hotels.com","Dubaï","Waldorf Astoria Dubai Palm Jumeirah","15-02-2021","21-02-2021","Palm Jumeirah","1678","6 nuits","291","9.4","https://exp.cdn-hotels.com/hotels/8000000/7340000/7332100/7332018/8be884e1_z.jpg"
"66","hotels.com","New York","Four Seasons Hotel New York Downtown","08-02-2021","14-02-2021","Tribeca","3335","6 nuits","146","9.4","https://exp.cdn-hotels.com/hotels/16000000/15440000/15438500/15438428/978b2ac7_z.jpg"
"69","hotels.com","Dubaï","Rixos Premium Dubai JBR","22-02-2021","28-02-2021","Jumeirah Beach Residence","1733","6 nuits","322","9.0","https://exp.cdn-hotels.com/hotels/19000000/18360000/18352700/18352604/2953d3a9_z.jpg"
"71","hotels.com","Dubaï","Four Seasons Hotel Dubai International Financial Centre","08-02-2021","14-02-2021","Centre d'expositions international World Trade Center","2623","6 nuits","50","9.4","https://exp.cdn-hotels.com/hotels/16000000/15380000/15378400/15378315/c5260d89_z.jpg"
"72","hotels.com","Dubaï","Armani Hotel Dubai","08-02-2021","14-02-2021","Downtown Dubaï","3065","6 nuits","227","9.0","https://exp.cdn-hotels.com/hotels/4000000/3040000/3033100/3033052/167e83ec_z.jpg"
"77","hotels.com","Dubaï","Rixos Premium Dubai JBR","15-02-2021","21-02-2021","Jumeirah Beach Residence","1837","6 nuits","322","9.0","https://exp.cdn-hotels.com/hotels/19000000/18360000/18352700/18352604/2953d3a9_z.jpg"
"79","hotels.com","New York","The Pierre, A Taj Hotel, New York","08-02-2021","14-02-2021","59e Rue","2592","6 nuits","323","9.2","https://exp.cdn-hotels.com/hotels/1000000/30000/20300/20213/98409720_z.jpg"
"81","hotels.com","New York","Trump International Hotel & Tower New York","22-02-2021","28-02-2021","59e Rue","2887","6 nuits","518","9.2","https://exp.cdn-hotels.com/hotels/1000000/50000/40400/40338/5c91c36a_z.jpg"
"82","hotels.com","New York","The Pierre, A Taj Hotel, New York","22-02-2021","28-02-2021","59e Rue","2592","6 nuits","323","9.2","https://exp.cdn-hotels.com/hotels/1000000/30000/20300/20213/98409720_z.jpg"
"83","hotels.com","Dubaï","W Dubai - The Palm","22-02-2021","28-02-2021","Palm Jumeirah","1670","6 nuits","148","9.2","https://exp.cdn-hotels.com/hotels/35000000/34040000/34039900/34039882/c1b737bc_z.jpg"
"92","hotels.com","New York","The Lowell","01-02-2021","07-02-2021","59e Rue","4208","6 nuits","54","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"97","hotels.com","New York","The Mark","22-02-2021","28-02-2021","Uptown","3681","6 nuits","171","9.4","https://exp.cdn-hotels.com/hotels/1000000/20000/19800/19712/5731b73a_z.jpg"
"98","hotels.com","New York","The Langham, New York, Fifth Avenue","22-02-2021","28-02-2021","Midtown","2119","6 nuits","551","9.4","https://exp.cdn-hotels.com/hotels/4000000/3630000/3630000/3629903/7ab1c1f2_z.jpg"
"100","hotels.com","Dubaï","Address Downtown","22-02-2021","28-02-2021","Downtown Dubaï","2139","6 nuits","109","9.0","https://exp.cdn-hotels.com/hotels/3000000/2230000/2225000/2224974/bd4f9f06_z.jpg"
"102","hotels.com","New York","The Lowell","15-02-2021","21-02-2021","59e Rue","4208","6 nuits","54","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"105","hotels.com","Dubaï","The Ritz-Carlton, Dubai","01-02-2021","07-02-2021","Jumeirah Beach Residence","2916","6 nuits","176","9.2","https://exp.cdn-hotels.com/hotels/1000000/130000/127500/127464/fd4b5837_z.jpg"
"109","hotels.com","Dubaï","Atlantis The Palm","15-02-2021","21-02-2021","Palm Jumeirah","2224","6 nuits","1439","8.8","https://exp.cdn-hotels.com/hotels/3000000/2240000/2235400/2235336/88658e84_z.jpg"
"112","hotels.com","New York","The Lowell","08-02-2021","14-02-2021","59e Rue","4208","6 nuits","54","9.4","https://exp.cdn-hotels.com/hotels/1000000/10000/3300/3253/267c2dc4_z.jpg"
"114","hotels.com","New York","Four Seasons Hotel New York Downtown","22-02-2021","28-02-2021","Tribeca","2827","6 nuits","146","9.4","https://exp.cdn-hotels.com/hotels/16000000/15440000/15438500/15438428/978b2ac7_z.jpg"
